ID_REF,Label,Nb_Anchor_Neighbors,Nb_Edges,Nb_Positives,Nb_Negatives,Pearson_Mean,Pearson_Std,Pearson_Max,Pearson_Min
AT1G07740,Candidate,"[65, 49]",114,71,43,0.39645370955617115,0.22998554433867172,0.8018285617696203,0.0031022432492845645
AT1G07745,Candidate,"[65, 49]",114,84,30,0.35346778884153685,0.2387557217629785,0.8420569364876177,0.00327836936387747
AT1G07750,Candidate,"[65, 49]",114,86,28,0.41197168390692646,0.25363912015032136,0.8904176962950106,0.000325442858128298
AT1G07770,Candidate,"[65, 49]",114,65,49,0.5718165226092377,0.28808422077682305,0.9928704685950404,0.008451431096176328
AT1G07780,Candidate,"[65, 49]",114,66,48,0.5527956967317555,0.2985523300725337,0.9795852233064786,0.025513218728401413
AT1G07790,Candidate,"[65, 49]",114,56,58,0.39757713143753787,0.22545151498684557,0.87250602056652,0.008427765606171372
AT1G07810,Candidate,"[65, 49]",114,68,46,0.39744869217986384,0.2264652134343881,0.873810065830641,0.005602034814785516
AT1G07820,Candidate,"[65, 49]",114,75,39,0.40593950557303976,0.22569864094092146,0.8744833127739848,0.007683567030084932
AT1G07830,Candidate,"[65, 49]",114,76,38,0.5180765110545373,0.2862401181889127,0.9618135348249371,0.0030642079527483236
AT1G07840,Candidate,"[65, 49]",114,76,38,0.4976148329930415,0.26483064139710094,0.9305059733872386,0.0029008163037957287
AT1G07870,Candidate,"[65, 49]",114,82,32,0.4191142082642391,0.27418693911053693,0.9437713921628322,0.005457408782981566
AT1G07890,Candidate,"[65, 49]",114,69,45,0.4357222451366749,0.2431263653087482,0.918279431593688,0.0073645049103403205
AT1G07910,Candidate,"[65, 49]",114,91,23,0.4128671235232344,0.26369488805902846,0.9150268023846798,0.004210091258890783
AT1G07920,Candidate,"[65, 49]",114,61,53,0.5757521089767134,0.2719072167248966,0.9875705801718272,0.010635410169027871
AT1G07930,Candidate,"[65, 49]",114,60,54,0.5701392906069265,0.26550293423404514,0.9969587251469493,0.029936876759440977
AT1G07940,Candidate,"[65, 49]",114,61,53,0.576225020527585,0.2732040493105493,0.9874171081548705,0.00880748197724104
AT1G07950,Candidate,"[65, 49]",114,74,40,0.38270210068050947,0.2043751518923542,0.9023435762348374,8.023710034312661e-05
AT1G07960,Candidate,"[65, 49]",114,76,38,0.5189416324219461,0.2936051438174787,0.9465897453536701,0.0025589093550300005
AT1G07970,Candidate,"[65, 49]",114,76,38,0.5321216003912382,0.30624310838521535,0.9644005969329047,0.01466961367804313
AT1G07980,Candidate,"[65, 49]",114,103,11,0.37324999350563987,0.21986867002424726,0.8406111904882733,0.0185926862277276
AT1G07985,Candidate,"[65, 49]",114,76,38,0.43520615859019807,0.2772558918210138,0.9783637797704309,0.017122262487263715
AT1G07990,Candidate,"[65, 49]",114,93,21,0.415501058738454,0.2705195873480076,0.9585650678416437,0.0009766508759659882
AT1G08000,Candidate,"[65, 49]",114,68,46,0.5586297906521336,0.28102105213858697,0.950506429531187,0.0018858705146658408
AT1G08010,Candidate,"[65, 49]",114,66,48,0.5084049718238347,0.26092086900000544,0.9201522978563528,0.006433575712645023
AT1G08030,Candidate,"[65, 49]",114,92,22,0.3270274257043726,0.20639453386074139,0.7520262772749565,0.0030846075520061236
AT1G08040,Candidate,"[65, 49]",114,96,18,0.36138477997154633,0.2318122668879586,0.7767514522468723,0.004517626159793424
AT1G08050,Candidate,"[65, 49]",114,53,61,0.5673064879256168,0.26683389465402674,0.9599553485023913,0.0002925833133845909
AT1G08060,Candidate,"[65, 49]",114,73,41,0.41908686257628414,0.2588204053726873,0.9507665462828818,0.010082903718793196
AT1G08070,Candidate,"[65, 49]",114,94,20,0.3925583952779981,0.2506179535145382,0.8946502422672135,0.0018323634568054672
AT1G08110,Candidate,"[65, 49]",114,77,37,0.4431448827272176,0.24440751054286702,0.8914729557660498,0.008983068406218929
AT1G08125,Candidate,"[65, 49]",114,74,40,0.47783772541736164,0.2594531604584602,0.9201319038238593,0.004537665301446539
AT1G08130,Candidate,"[65, 49]",114,74,40,0.5017287702501969,0.26560033794284216,0.916955441979243,0.0014567745502771724
AT1G08165,Candidate,"[65, 49]",114,75,39,0.4306744653153748,0.27791370873014803,0.9499536267471658,0.0019879611686982887
AT1G08170,Candidate,"[65, 49]",114,63,51,0.5003586901067676,0.2689008407501883,0.9863295711816642,3.162961084359967e-06
AT1G08180,Candidate,"[65, 49]",114,77,37,0.45669483361535573,0.25411293559089054,0.8617003588463245,0.0010064847579959563
AT1G08190,Candidate,"[65, 49]",114,83,31,0.4956688076174345,0.251110112472197,0.9531658910159365,0.018076701102852127
AT1G08200,Candidate,"[65, 49]",114,58,56,0.33893854934611145,0.20828552357454824,0.9144639734262344,0.00279654648203352
AT1G08210,Candidate,"[65, 49]",114,89,25,0.3452649255982463,0.21978871438508804,0.8337141178208533,0.012674977210337189
AT1G08220,Candidate,"[65, 49]",114,65,49,0.5593061941419013,0.28312465019641325,0.9784022302182588,0.007504269286120397
AT1G08230,Candidate,"[65, 49]",114,55,59,0.1980942934748293,0.14098972236327098,0.5664236733379847,0.002014430107866789
AT1G08250,Candidate,"[65, 49]",114,79,35,0.42935823143663393,0.2706144565760073,0.9438221541358781,0.01374069077407169
AT1G08260,Candidate,"[65, 49]",114,71,43,0.5261739108600579,0.29670135540369935,0.9626111329858925,0.00263548894621738
AT1G08270,Candidate,"[65, 49]",114,79,35,0.4145774600277847,0.2598198293211964,0.9568314026897781,0.005530503967362343
AT1G08280,Candidate,"[65, 49]",114,63,51,0.5561241552124142,0.25931533005309376,0.9639201881427525,0.020838726998581098
AT1G08300,Candidate,"[65, 49]",114,75,39,0.2945653555019294,0.20529811084958013,0.8040435155243174,0.014839723518966905
AT1G08310,Candidate,"[65, 49]",114,76,38,0.31053019835360623,0.17602886058698697,0.7513693433895415,0.002435409597257713
AT1G08315,Candidate,"[65, 49]",114,70,44,0.25918022417514475,0.19412691050303255,0.8447030204132573,0.0029769153063741254
AT1G08320,Candidate,"[65, 49]",114,55,59,0.3153024969648253,0.1754678601969084,0.6856231819791064,0.008520674261555124
AT1G08340,Candidate,"[65, 49]",114,49,65,0.48515889970066906,0.2614446080938813,0.9504423951471038,0.017086344151234105
AT1G08350,Candidate,"[65, 49]",114,65,49,0.5317579395696297,0.26812183810958484,0.9360964687800628,0.004049470353731371
AT1G08360,Candidate,"[65, 49]",114,64,50,0.5727456668518591,0.2912615342547134,0.9881382699172582,0.03624924925969286
AT1G08370,Candidate,"[65, 49]",114,72,42,0.284529467226549,0.18225956283003153,0.6794746074088195,0.0049496780238399134
AT1G08380,Candidate,"[65, 49]",114,56,58,0.4062076698338706,0.20640950233708186,0.8225732637701987,0.004073340821623646
AT1G08390,Candidate,"[65, 49]",114,73,41,0.33017413562319975,0.20995819404579913,0.8283519251484216,0.005564207077228791
AT1G08400,Candidate,"[65, 49]",114,81,33,0.47585353872567826,0.2649960418745722,0.8770266953620299,0.005190985725935257
AT1G08410,Candidate,"[65, 49]",114,93,21,0.3761740096808791,0.21009326515104856,0.79135382902504,2.896795687848545e-05
AT1G08420,Candidate,"[65, 49]",114,67,47,0.41611637889114594,0.2533017943356794,0.9586949896730411,0.0013769409687450116
AT1G08450,Candidate,"[65, 49]",114,69,45,0.5338944097676754,0.28196059728992884,0.9593956636052113,0.0031005881493188785
AT1G08460,Candidate,"[65, 49]",114,96,18,0.3964509247119705,0.24731647858382771,0.9026685377540913,0.001596835225301319
AT1G08465,Candidate,"[65, 49]",114,80,34,0.4998323572731198,0.28255070992320375,0.9238202200295536,0.009033230865023665
AT1G08470,Candidate,"[65, 49]",114,62,52,0.5690998062054656,0.2594128032313461,0.9399361844263655,0.017635515860906347
AT1G08480,Candidate,"[65, 49]",114,68,46,0.47107781445561636,0.22605301114433302,0.9202904675556199,0.0018043509064173304
AT1G08490,Candidate,"[65, 49]",114,66,48,0.44722808071293485,0.24258115853596054,0.8707316490451239,0.008983655647151065
AT1G08500,Candidate,"[65, 49]",114,63,51,0.4843681310225136,0.23245236866614655,0.9160665029123233,0.023621320183584645
AT1G08510,Candidate,"[65, 49]",114,89,25,0.42702375900512995,0.24590425649384764,0.8724767094015986,0.00901896224211255
AT1G08520,Candidate,"[65, 49]",114,64,50,0.5774010755298876,0.2771303288547219,0.9721584773127397,0.011880946967766197
AT1G08530,Candidate,"[65, 49]",114,71,43,0.4965068825301239,0.2792187569176791,0.9279545664141263,0.0057787079502581344
AT1G08540,Candidate,"[65, 49]",114,65,49,0.5720958208230444,0.27278942597161815,0.9641674539412547,5.8326152065894e-06
AT1G08550,Candidate,"[65, 49]",114,63,51,0.4355755076003393,0.22828369288153444,0.8945784009651048,0.00540127454203012
AT1G08560,Candidate,"[65, 49]",114,89,25,0.25162389662470386,0.16520332914533403,0.6676990772953988,0.0002871337235914425
AT1G08570,Candidate,"[65, 49]",114,63,51,0.5089520571118538,0.2778385135246843,0.9885718144095872,0.02180773327604304
AT1G08580,Candidate,"[65, 49]",114,61,53,0.5600962039310129,0.25810817425474986,0.9755017632829492,0.029515672244037335
AT1G08590,Candidate,"[65, 49]",114,63,51,0.47491132997610847,0.2429369072585579,0.9264773981194229,0.00862314625970684
AT1G08600,Candidate,"[65, 49]",114,95,19,0.42599119705317734,0.24535481179980326,0.8962352576392254,0.002485586383117351
AT1G08610,Candidate,"[65, 49]",114,72,42,0.5101738417911705,0.2769031147728084,0.9593303678324316,0.03810434260183548
AT1G08620,Candidate,"[65, 49]",114,80,34,0.4130787057970426,0.21166402088512615,0.8691918916222864,0.01030395053983774
AT1G08630,Candidate,"[65, 49]",114,87,27,0.37297338299784405,0.24368676687654622,0.8625827308186738,0.0003553785007894071
AT1G08640,Candidate,"[65, 49]",114,66,48,0.535413418274081,0.2749155708741752,0.9685689506393556,0.008682062360911458
AT1G08650,Candidate,"[65, 49]",114,103,11,0.35737547059523495,0.21749369184988124,0.8319761235696416,0.0021625129202511692
AT1G08660,Candidate,"[65, 49]",114,66,48,0.5534702840412191,0.2952719384585987,0.9842875503965103,0.020421300610724207
AT1G08680,Candidate,"[65, 49]",114,81,33,0.44845488519428317,0.23505605538038896,0.8678900648831958,0.0042476915416380856
AT1G08700,Candidate,"[65, 49]",114,76,38,0.5051437603342601,0.276959788439243,0.9061268220812899,0.011588491099241325
AT1G08710,Candidate,"[65, 49]",114,97,17,0.4373987676046922,0.2530904452603375,0.9451033989770717,0.004520576217828236
AT1G08720,Candidate,"[65, 49]",114,86,28,0.40251381642317247,0.2565762423289655,0.9101948045759596,0.013999921501790621
AT1G08730,Candidate,"[65, 49]",114,86,28,0.1607938212259129,0.11248770054165604,0.5739060387906377,0.0008855385909596267
AT1G08750,Candidate,"[65, 49]",114,70,44,0.5181036459241775,0.29307032088926455,0.9541917523216477,0.00025588732308718125
AT1G08760,Candidate,"[65, 49]",114,89,25,0.440756924140775,0.2166048968252471,0.8829415334008939,0.023371203161104304
AT1G08770,Candidate,"[65, 49]",114,37,77,0.4385164465459784,0.25340706111391564,0.9518457348406323,0.020192045714694705
AT1G08780,Candidate,"[65, 49]",114,70,44,0.498544475443988,0.26288189196632733,0.918026368009256,0.0044334481094505445
AT1G08800,Candidate,"[65, 49]",114,87,27,0.29026533116319014,0.18119964534735863,0.8050775941095614,0.009566593157126237
AT1G08820,Candidate,"[65, 49]",114,90,24,0.4562931768922312,0.24451673493282078,0.9313319901081015,0.010152491123483105
