ID_REF,Label,Nb_Anchor_Neighbors,Nb_Edges,Nb_Positives,Nb_Negatives,Pearson_Mean,Pearson_Std,Pearson_Max,Pearson_Min
AT2G02930,Candidate,"[9, 4]",13,12,1,0.8957087021643614,0.03502363628825738,0.9608032785755991,0.8467662504290744
AT2G02955,Candidate,"[9, 1]",10,10,0,0.8855198031686689,0.029790682155989543,0.9362828381437619,0.8480508871275211
AT2G02970,Candidate,"[1, 2]",3,3,0,0.8813386442495141,0.025936535719455926,0.917448759612078,0.8577068039772872
AT2G02980,Candidate,"[5, 3]",8,7,1,0.8665510719655698,0.01297943040084163,0.8899171126730847,0.8457417776165108
AT2G03070,Candidate,"[8, 8]",16,16,0,0.9110778078442738,0.03233625004214711,0.9622704206980796,0.8498087101317287
AT2G03090,Candidate,"[10, 12]",22,22,0,0.8891676936572126,0.02844822162231806,0.9497680449196544,0.8446818282328543
AT2G03120,Candidate,"[1, 1]",2,2,0,0.8519767545138353,0.001385279869417444,0.8533620343832528,0.8505914746444179
AT2G03140,Candidate,"[9, 2]",11,11,0,0.8943991633548625,0.0325036748665239,0.9571629161771799,0.8503469814628667
AT2G03150,Candidate,"[3, 1]",4,4,0,0.8904937838109561,0.024064513886898835,0.9093222393168803,0.8499932040178617
AT2G03240,Candidate,"[3, 2]",5,5,0,0.8664045239324543,0.02168076748266853,0.899450423455541,0.8408283313474242
AT2G03260,Candidate,"[5, 3]",8,8,0,0.8735960391227764,0.023317503012675562,0.9183105199230683,0.8466054692576952
AT2G03270,Candidate,"[1, 1]",2,2,0,0.851014469195686,0.006140866900816111,0.8571553360965021,0.8448736022948699
AT2G03280,Candidate,"[3, 0]",3,3,0,0.8661783822680915,0.007284063468543768,0.8762257639725792,0.8591864532229695
AT2G03330,Candidate,"[1, 0]",1,1,0,0.922723130268794,0.0,0.922723130268794,0.922723130268794
AT2G03340,Candidate,"[7, 5]",12,12,0,0.9044713910502521,0.03523153002649719,0.9639142299954853,0.8482791864340995
AT2G03350,Candidate,"[5, 5]",10,10,0,0.9025865406381055,0.03378572768258588,0.9572993186313588,0.85289579524656
AT2G03390,Candidate,"[0, 2]",2,2,0,0.8565502966185842,0.0006897258226743475,0.8572400224412585,0.8558605707959098
AT2G03420,Candidate,"[11, 11]",22,20,2,0.8939757213403392,0.03851482870749772,0.9828130184109518,0.8401600481656434
AT2G03430,Candidate,"[0, 2]",2,2,0,0.8823451306212236,0.00019368564024280222,0.8825388162614664,0.8821514449809807
AT2G03440,Candidate,"[1, 0]",1,1,0,0.9270391698667184,0.0,0.9270391698667184,0.9270391698667184
AT2G03450,Candidate,"[1, 2]",3,3,0,0.8851892173899207,0.01704520339931463,0.9055307374401177,0.8638168789081231
AT2G03470,Candidate,"[1, 1]",2,2,0,0.9218750124284962,0.006537608998657796,0.9284126214271541,0.9153374034298385
AT2G03480,Candidate,"[6, 2]",8,8,0,0.896444719582713,0.03616850945875481,0.9666746533185117,0.842751083152311
AT2G03500,Candidate,"[1, 1]",2,2,0,0.8570864829830454,0.007367142190531528,0.8644536251735769,0.8497193407925139
AT2G03505,Candidate,"[2, 0]",2,1,1,0.8771561746771929,0.013115677388329416,0.8902718520655223,0.8640404972888635
AT2G03520,Candidate,"[9, 5]",14,13,1,0.8945698520308818,0.049768489544607816,0.9953371112705037,0.8406748780470538
AT2G03530,Candidate,"[5, 5]",10,10,0,0.8957536470286971,0.035258430944628084,0.957837674207847,0.841097686910809
AT2G03590,Candidate,"[10, 11]",21,16,5,0.8939960915832179,0.04010027375733416,0.970003957267638,0.8403490357479142
AT2G03620,Candidate,"[9, 1]",10,10,0,0.8657222258925446,0.02640051290146838,0.9308921642539181,0.8414933951546527
AT2G03640,Candidate,"[6, 6]",12,12,0,0.8762094270267569,0.023821187433716223,0.9206967994185233,0.8425684299171903
AT2G03667,Candidate,"[6, 8]",14,13,1,0.8903715811313597,0.028639075691623904,0.9398323566473402,0.840926376523818
AT2G03670,Candidate,"[0, 2]",2,2,0,0.8718435480789382,0.009657376320737543,0.8815009243996758,0.8621861717582007
AT2G03680,Candidate,"[10, 11]",21,20,1,0.8933493090285621,0.03863311580030852,0.9632050755809967,0.850764171171379
AT2G03690,Candidate,"[1, 0]",1,1,0,0.8830877585760978,0.0,0.8830877585760978,0.8830877585760978
AT2G03730,Candidate,"[8, 4]",12,9,3,0.9009187639409051,0.031053629808335065,0.9627700125179061,0.8602848241726587
AT2G03780,Candidate,"[8, 7]",15,14,1,0.9113624186762497,0.030037696102997346,0.9798226191473998,0.8656511202506982
AT2G03800,Candidate,"[2, 1]",3,3,0,0.890036859277835,0.011772353890032738,0.9019986990560089,0.8740275663397822
AT2G03810,Candidate,"[5, 2]",7,7,0,0.8766686965988527,0.02896713693578504,0.9120526177616968,0.8411265980829757
AT2G03820,Candidate,"[1, 1]",2,2,0,0.8743572647855966,0.008112203068769419,0.8824694678543661,0.8662450617168272
AT2G03870,Candidate,"[10, 11]",21,18,3,0.8977456007663177,0.04297267246287531,0.959929466343235,0.841935542404154
AT2G03880,Candidate,"[7, 5]",12,12,0,0.9001206170541277,0.03354116333994419,0.9500267220139618,0.8470502309597199
AT2G03980,Candidate,"[8, 11]",19,16,3,0.8884157453715443,0.028564413448683244,0.9388147319729833,0.8520853088223302
AT2G04030,Candidate,"[6, 6]",12,11,1,0.8823174480646743,0.03389103458793865,0.9549483545717582,0.8462654566460632
AT2G04039,Candidate,"[6, 4]",10,10,0,0.892096230576619,0.031061455089174177,0.9350391921391812,0.8442626990325333
AT2G04040,Candidate,"[2, 2]",4,1,3,0.882050517172051,0.03948062187964581,0.9489501552962427,0.8488730370692473
AT2G04100,Candidate,"[2, 1]",3,3,0,0.8667050638816972,0.01680780168588552,0.8795797905670784,0.8429635289075578
AT2G04170,Candidate,"[1, 0]",1,1,0,0.8471651726456999,0.0,0.8471651726456999,0.8471651726456999
AT2G04230,Candidate,"[0, 3]",3,3,0,0.8873866457556657,0.021622384080712896,0.9091726988814043,0.8579109079562015
AT2G04235,Candidate,"[3, 10]",13,12,1,0.9220677201744857,0.028794196382127456,0.955628130286242,0.8494469571472151
AT2G04240,Dormancy,"[6, 3]",618,617,1,0.8849290487838365,0.03020796946988534,0.9776409858400541,0.8404130759572338
AT2G04270,Candidate,"[2, 5]",7,7,0,0.8737352155051393,0.026284518279684716,0.9281235977784181,0.8442529401175416
AT2G04280,Candidate,"[5, 7]",12,9,3,0.8754934313403342,0.02220314536197026,0.9132293577305356,0.8426458123900956
AT2G04340,Candidate,"[4, 3]",7,7,0,0.8781871469003246,0.010594057000488218,0.895446935785426,0.8620623059418986
