ID_REF	#SpNeighbors	Score	#Cliques	#MaximalClique	MinDistance	AvgDistance	MaxDistance	Specific Genes
AT4G12240	16	22	10	4	0.02156771152974523	0.0525650061413288	0.06809332457159915	AT1G09570,AT1G48630,AT1G79460,AT2G21660,AT2G25490,AT2G31660,AT2G38050,AT3G05120,AT3G11240,AT3G11410,AT3G47620,AT4G16250,AT5G13530,AT5G25350,AT5G44200,AT5G48870
AT3G15360	16	22	10	4	0.02313062874135588	0.045149752165833536	0.06764168087575688	AT1G10430,AT1G18080,AT1G48630,AT1G72770,AT1G79460,AT1G80340,AT2G21660,AT2G26300,AT2G29090,AT2G30250,AT3G11240,AT3G54810,AT3G63010,AT5G03280,AT5G25350,AT5G57050
AT4G33300	16	22	10	4	0.026030562022314265	0.048400682831529526	0.06573079797166062	AT1G10430,AT1G30040,AT1G31930,AT1G55870,AT1G72770,AT2G25490,AT2G26300,AT2G30250,AT2G41430,AT3G05120,AT3G11410,AT3G59220,AT3G63010,AT5G02310,AT5G05700,AT5G25350
AT4G26480	16	22	10	4	0.03306028414636667	0.047766019598614186	0.06714089608163581	AT1G30040,AT1G79460,AT1G80340,AT2G23460,AT2G29090,AT2G30250,AT3G05120,AT3G11240,AT3G51920,AT3G59220,AT3G63010,AT4G34390,AT5G40280,AT5G44200,AT5G48870,AT5G51810
AT2G27900	16	22	10	4	0.035025800212511504	0.05028559606074757	0.06418254690231087	AT1G72770,AT2G21660,AT2G23460,AT2G26300,AT2G29090,AT2G30250,AT3G11410,AT3G51920,AT3G59220,AT3G63010,AT4G16250,AT5G03280,AT5G05700,AT5G25350,AT5G25900,AT5G44200
AT3G22290	16	21	10	4	0.01554272131004532	0.048638754589537224	0.06438129254160264	AT1G13740,AT1G15550,AT1G22770,AT1G31930,AT1G55870,AT1G79460,AT1G80340,AT2G26300,AT2G29090,AT2G30250,AT2G31660,AT3G05120,AT4G18130,AT4G34390,AT5G03280,AT5G40280
AT2G14255	16	21	10	4	0.030581606579592784	0.052685489915868744	0.06878102635559893	AT1G10430,AT1G30040,AT1G31930,AT1G72770,AT1G80340,AT2G25490,AT2G26300,AT2G38050,AT3G05120,AT3G59220,AT4G18130,AT4G25420,AT4G34390,AT5G25350,AT5G44200,AT5G51810
AT4G34350	16	21	10	4	0.03316306086896941	0.05189799810337721	0.06508320988034232	AT1G09570,AT1G13740,AT1G15550,AT1G31930,AT1G69260,AT1G79460,AT2G21660,AT2G23460,AT2G31660,AT2G41430,AT3G47620,AT4G25420,AT4G34390,AT5G05700,AT5G20910,AT5G57050
AT3G15660	16	21	10	4	0.03681429013919381	0.046904575799033	0.06767740077850207	AT1G10430,AT1G31930,AT1G48630,AT1G55870,AT1G69260,AT1G79460,AT1G80340,AT2G21660,AT2G30250,AT3G05120,AT3G47620,AT3G51920,AT5G03280,AT5G13530,AT5G20910,AT5G44200
AT3G21580	16	21	10	4	0.044183652546738186	0.05644587312410242	0.06362269316961798	AT1G13740,AT1G18080,AT1G55870,AT2G21660,AT2G25490,AT2G29090,AT3G11240,AT3G47620,AT3G54810,AT3G63010,AT4G16250,AT5G05700,AT5G20910,AT5G25350,AT5G48870,AT5G51760
AT1G70630	16	21	9	5	0.026637017663786785	0.04990447428504243	0.06727186061700997	AT1G09570,AT1G15550,AT1G48630,AT1G69260,AT1G72770,AT1G80340,AT2G23460,AT2G26300,AT2G30250,AT2G38050,AT3G51920,AT4G34390,AT5G05700,AT5G25350,AT5G44200,AT5G57050
AT1G48950	16	21	9	4	0.0	0.04631153113680752	0.06255908512575759	AT1G13740,AT1G30040,AT1G69260,AT2G23460,AT2G29090,AT2G38050,AT3G05120,AT3G11240,AT3G54810,AT4G18130,AT4G25420,AT4G34390,AT5G25350,AT5G25900,AT5G51760,AT5G51810
AT2G04740	16	21	9	4	0.026842932039270007	0.054037622937110785	0.06680880010697221	AT1G10430,AT1G13740,AT1G15550,AT1G22770,AT1G72770,AT2G23460,AT2G29090,AT3G11240,AT3G11410,AT3G47620,AT3G51920,AT3G63010,AT4G16250,AT4G25420,AT5G25350,AT5G25900
