ID_REF	#SpNeighbors	Score	#Cliques	#MaximalClique	MinDistance	AvgDistance	MaxDistance	Specific Genes
AT4G29100	14	10	5	3	0.03787416536500175	0.05734582658166975	0.06830550451855857	AT1G01360,AT1G15100,AT1G27320,AT1G52340,AT2G01570,AT2G04240,AT2G33610,AT3G24650,AT4G11110,AT4G26070,AT4G33950,AT5G45830,AT5G52570,AT5G53160
AT2G19340	14	10	5	3	0.03830556483153711	0.05098779934748534	0.06725707221758563	AT1G16540,AT1G48270,AT2G26040,AT2G28350,AT2G40220,AT2G40330,AT2G44950,AT3G50500,AT3G63520,AT4G11110,AT4G18620,AT5G45860,AT5G52570,AT5G53160
AT4G32350	14	10	5	3	0.03996710945202181	0.05645802571048623	0.06699229184437955	AT1G27320,AT1G52340,AT2G04240,AT2G20180,AT2G27300,AT2G43790,AT3G20770,AT3G24220,AT3G51770,AT3G51880,AT3G63520,AT5G35750,AT5G45860,AT5G63320
AT5G67580	14	10	5	3	0.04152027345819652	0.05388713013857194	0.06639145456385676	AT1G01360,AT1G03790,AT1G16540,AT1G66350,AT2G04240,AT2G43790,AT3G24220,AT3G50500,AT4G01026,AT4G33950,AT5G05440,AT5G08620,AT5G46790,AT5G52570
AT1G18800	14	10	5	3	0.04179981147400324	0.05564360261406245	0.06426468132156374	AT1G15100,AT1G27320,AT1G48270,AT1G66350,AT2G01570,AT2G20180,AT2G40330,AT2G44950,AT3G03450,AT3G11540,AT4G17870,AT5G35750,AT5G45830,AT5G67030
AT4G03010	14	10	5	3	0.04187940396007278	0.055804072514881065	0.06471740297446012	AT1G01060,AT1G01360,AT1G16540,AT1G27320,AT1G31970,AT2G40220,AT2G44950,AT3G03450,AT3G04870,AT3G51880,AT3G62090,AT4G26070,AT5G66880,AT5G67030
AT5G53930	14	10	5	3	0.042104425417051394	0.05459136100829488	0.06636031534559625	AT1G15100,AT1G48270,AT1G52340,AT2G01570,AT2G46830,AT3G20770,AT4G17870,AT4G25700,AT4G26070,AT5G06100,AT5G08620,AT5G45830,AT5G46790,AT5G57390
AT1G54570	14	10	5	3	0.042426132779740895	0.054914835075833765	0.0678207704752355	AT1G01360,AT2G04240,AT2G28350,AT2G32460,AT2G36270,AT2G46830,AT3G04870,AT4G01026,AT4G11110,AT5G05440,AT5G35750,AT5G46790,AT5G52570,AT5G67030
AT1G29260	14	10	5	3	0.04242643187185434	0.05841454916006244	0.06730543864505972	AT1G31970,AT2G04240,AT2G26040,AT2G43790,AT3G03450,AT3G04870,AT3G20770,AT4G11110,AT4G36930,AT5G37260,AT5G45830,AT5G52570,AT5G66880,AT5G67030
AT2G27150	14	10	5	3	0.04244850812143488	0.05538412445084867	0.06723944168355454	AT1G01360,AT1G16540,AT1G52340,AT2G28350,AT3G20770,AT3G51770,AT3G63520,AT4G09570,AT4G25700,AT4G36930,AT5G17490,AT5G20960,AT5G35750,AT5G45860
AT5G63770	14	10	5	3	0.04281677292125012	0.05699487056843944	0.06867203310024914	AT1G15100,AT1G27320,AT1G31970,AT1G48270,AT2G01570,AT2G01830,AT2G38310,AT2G40220,AT3G20770,AT3G50500,AT3G51880,AT3G63520,AT4G17870,AT5G35750
AT5G57630	14	10	5	3	0.04328810219294331	0.060488546979046286	0.06942749291374714	AT1G01060,AT1G03790,AT1G27320,AT2G46830,AT3G03450,AT3G51770,AT3G51880,AT3G62090,AT4G33950,AT4G36930,AT5G08620,AT5G17490,AT5G37260,AT5G45860
AT5G25900	14	10	5	3	0.04448372356089921	0.05884480677552874	0.06736508048381992	AT1G01360,AT1G14920,AT2G01830,AT2G32460,AT2G40220,AT2G46830,AT3G24650,AT4G11110,AT5G35750,AT5G45830,AT5G46790,AT5G53160,AT5G60410,AT5G66880
AT4G17830	14	10	5	3	0.04456827381395581	0.05848282375845466	0.06783365500065335	AT1G01060,AT1G01360,AT1G15100,AT1G16540,AT2G26040,AT2G40220,AT2G40330,AT3G50500,AT3G62090,AT4G01026,AT4G36930,AT5G05440,AT5G17490,AT5G37260
AT5G55550	14	10	5	3	0.045347624666528426	0.059752189082408966	0.06753074851764945	AT1G14920,AT1G78390,AT2G32460,AT2G36270,AT3G24220,AT3G50500,AT4G01026,AT4G17870,AT4G26070,AT4G33950,AT5G06100,AT5G37260,AT5G46790,AT5G63320
AT2G26660	14	10	5	3	0.04539776732209855	0.05747482701312721	0.06645774808893862	AT1G01060,AT1G15100,AT1G52340,AT2G28350,AT2G32460,AT2G33610,AT2G40330,AT3G24650,AT3G63520,AT4G01026,AT4G17870,AT4G25700,AT4G36930,AT5G35750
AT2G14860	14	10	5	3	0.04663293384584389	0.05912326265809014	0.06708257401618398	AT1G14920,AT1G48270,AT2G20180,AT2G26040,AT2G40330,AT4G09570,AT4G11110,AT4G25700,AT4G33950,AT5G35750,AT5G46790,AT5G57390,AT5G66880,AT5G67030
AT1G74260	14	10	5	3	0.04710345189110639	0.05490676989247895	0.06575281590472808	AT1G14920,AT1G27320,AT1G48270,AT1G52340,AT2G01570,AT2G26040,AT2G36270,AT3G04870,AT3G51770,AT4G25700,AT5G08620,AT5G35750,AT5G45860,AT5G52570
